id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/23264671,Biomolecular Archaeology: An Introduction,Journal of Anthropological Research,2012,,article,book-review,jstor,,2012-07-01,2,68,http://www.jstor.org/stable/23264671,Brian M. Kemp; Terry Brown; Keri Brown,University of New Mexico,eng,278,279,,biomolecular archaeology; adna textbook; ancient dna; biomolecular scientists; ancient; berlin springer; archaeologists; biomolecular archaeologist; lactase persistence; archaeologists and biomolecular,755,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/26530252,Warsaw breakage syndrome DDX11 helicase acts jointly with RAD17 in the repair of bulky lesions and replication through abasic sites,Proceedings of the National Academy of Sciences of the United States of America,2018,,article,research-article,jstor,,2018-08-14,33,115,http://www.jstor.org/stable/26530252,Takuya Abe; Masato Ooka; Ryotaro Kawasumi; Keiji Miyata; Minoru Takata; Kouji Hirota; Dana Branzei,National Academy of Sciences,eng,8412,8417,,gene conversion; repair; helicase; replication; fanconi anemia; bulky lesions; breakage syndrome; homologous recombination; hypermutation; warsaw breakage,8640,6,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24504201,"Proxy comparison in ancient peat sediments: pollen, macrofossil and plant DNA",Philosophical Transactions: Biological Sciences,2015,,article,research-article,jstor,,2015-01-19,1660,370,http://www.jstor.org/stable/24504201,Laura Parducci; Minna Väliranta; J. Sakari Salonen; Tiina Ronkainen; Irina Matetovici; Sonia L. Fontana; Tiina Eskola; Pertti Sarala; Yoshihisa Suyama,Royal Society,eng,1,9,,pollen; macrofossils; holocene; sediments; weichselian interstadial; sequences; proxies; peat sediments; three proxies; quercus spp,9029,9,unigrams; bigrams; trigrams
ark://27927/phz9rn92kjj,Oligonucleotide loaded polypeptide‐peptide nanoparticles towards mitochondrial‐targeted delivery,Polymers for Advanced Technologies,2019,10.1002/pat.4707,article,,portico,,2019-10-01,10,30,http://doi.org/10.1002/pat.4707,Hanna Rapaport; Noa Harduf; Ifat Cohen‐Erez,"John Wiley & Sons, Inc.",eng,2506,2514,,pop nps; mitochondria; dna pop; dna pop nps; peptide; cohen erez; pfk peptide; nps dna; pfk dna; penetrating peptides,5506,9,unigram; bigram; trigram
ark://27927/phzk9nct3z8,The Viking Great Army in England: new dates from the Repton charnel,Antiquity,2018,10.15184/aqy.2017.196,article,research-article,portico,,2018-02-02,361,92,http://doi.org/10.15184/aqy.2017.196,Catrine L. Jarman; Christopher Bronk Ramsey; Martin Biddle; Tom Higham,Cambridge University Press,eng,183,199,,charnel; charnel oxa; repton; biddle; charnel deposit; viking; terrestrial calibration; antiquity publications; viking great; radiocarbon,6420,17,unigram; bigram; trigram
ark://27927/phz1dqwthgx,"Osteodental biology of the People of Portus Romae (Necropolis of Isola Sacra, 2nd–3rd cent. AD)",American Journal of Physical Anthropology,2000,10.1002/1096-8644(200007)112:3<438::AID-AJPA14>3.0.CO;2-T,article,,portico,,2000-07-01,3,112,http://doi.org/10.1002/1096-8644(200007)112:3<438::AID-AJPA14>3.0.CO;2-T,Jerome C. Rose; Peter S. Ungar,"John Wiley & Sons, Inc.",eng,438,440,,mummies; isola sacra; population genetics; portus romae; aidan cockburn; anthropology; bone remodeling; textbook; material; concerning bone,4704,8,unigram; bigram; trigram
ark://27927/phzd30b44nv,"Contrasting Patterns of Clonality in Two Closely Related Mallee Species from Western Australia, Eucalyptus argutifolia and E. obtusiflora (Myrtaceae)",Australian Journal of Botany,1997,10.1071/BT96082,article,,portico,,1997-01-01,4,45,http://doi.org/10.1071/BT96082,W. J. Kennington; S. H. James,CSIRO Publishing,eng,679,689,,genets; multilocus genotypes; clonal; mallee; populations; eucalyptus; mallee species; clonal growth; species; parrot ridge,5256,12,unigram; bigram; trigram
ark://27927/pjb1rr4cvqq,THE PRECERAMIC AND EARLY CERAMIC PERIODS IN BELIZE AND THE CENTRAL MAYA LOWLANDS,Ancient Mesoamerica,2021,10.1017/S0956536121000444,article,introduction,portico,,2021-10-01,3,32,http://doi.org/10.1017/S0956536121000444,Lauren A. Sullivan; Jaime J. Awe; Christophe Helmke; W. James Stemp; Joyce Marcus,Cambridge University Press,eng,416,438,,belize; maya lowlands; middle preclassic; preceramic; archaic; central maya; northern belize; central maya lowlands; prufer; acosta ochoa,22141,23,unigram; bigram; trigram
ark://27927/pjb637194x5,"It runs in the family: Kinship analysis using foot anomalies in the cemetery of Middenbeemster (Netherlands, 17th to 19th century)",International Journal of Osteoarchaeology,2022,10.1002/oa.3100,article,article,portico,,2022-07-01,4,32,http://doi.org/10.1002/oa.3100,Sarah A. Schrader; Elle B. K. Liagre; Menno L. P. Hoogland,"John Wiley & Sons, Inc.",eng,769,782,,kinship; hypothetical kinship; coalition; navicular; accessory navicular; kinship group; traits; calcaneus; lateral cuneiform; hypothetical kinship group,9965,14,unigram; bigram; trigram
http://www.jstor.org/stable/45163154,Life and living conditions in north-west Arabia during the Bronze Age: first results from the bioarchaeological work at Qurayyah,Proceedings of the Seminar for Arabian Studies,2018,,article,research-article,jstor,,2018-01-01,,48,http://www.jstor.org/stable/45163154,Marta Luciani; Michaela Binder; Abdullah S. Alsaud,Archaeopress,eng,185,200,,luciani; bronze age; marta luciani; luciani michaela; archaeological; michaela binder; archaeological project; binder abdullah; arabia; marta luciani michaela,7831,16,unigrams; bigrams; trigrams
