"identifier","alternative_identifiers","country","continent","region","culture","epoch","group","comment","latitude","longitude","sex","site","site_detail","mt_hg","ychr_hg","year_from","year_to","date_detail","bp","c14_lab_code","reference_name","reference_link","data_link","c14_sample_tag","c14_layer_tag","ychr_snps","avg_coverage","sequence_source","mitopatho_alleles","mitopatho_positions","mitopatho_locus","mitopatho_diseases","mitopatho_statuses","mitopatho_homoplasms","mitopatho_heteroplasms"
"I5373","none","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",53.079803466796875,-1.6409419775009155,"M","Carsington Pasture Cave, Brassington, Derbyshire, England","","X2b+226","R1b1a1a2a1a",-2194,-1980,"2194-1980 calBCE (3694±25 BP, BRAMS-1230)","3694±25","BRAMS-1230","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",214.55099487304688,"bam","11251G;15928A;4917G;4216C","11251;15928;4917;4216","MT-ND4;MT-TT;MT-ND2;MT-ND1","Reduced risk of PD;Multiple Sclerosis / idiopathic repeat miscarriage / AD protection;LHON / Insulin Resistance / AMD / NRTI-PN;LHON / Insulin Resistance /possible adaptive high altitude variant / miscarriage","Reported;Reported;Reported;Conflicting reports","nr;+;+;+","nr;-;-;-"
"I2601","ATP9.SG","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.33000183105469,1.3600000143051147,"F","East Kent Access (Phase II), Thanet, Kent, England","","U5a1b1a","",-1955,-1750,"1955-1750 calBCE (3535±35 BP, SUERC-40713)","3535±35","SUERC-40713","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",19.734100341796875,"bam","11467G;16270T;16189C;12308G;150T;12372A;16192T","11467;16270;16189;12308;150;12372;16192","MT-ND4;MT-CR;MT-CR;MT-TL2;MT-CR;MT-ND5;MT-CR","Altered brain pH / sCJD patients;Melanoma patients;Diabetes / Cardiomyopathy /cancer risk / mtDNA copy nbr / Metabolic Syndrome / Melanoma patients;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Longevity / Cervical Carcinoma / HPV infection risk;Altered brain pH / sCJD patients;Melanoma patients","Reported;Reported;Reported;Reported;Conflicting reports;Reported;Reported","+;nr;+;+;+;+;nr","-;nr;-;+;+;-;nr"
"I2602","Nr. 1 d (1_);Obekt 12 a","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.33000183105469,1.3600000143051147,"M","East Kent Access (Phase II), Thanet, Kent, England","","U5b2b","R1b1a1a2a1a2",-1892,-1699,"1892-1699 calBCE (3490±30 BP, SUERC-40290)","3490±30","SUERC-40290","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",112.83999633789062,"bam","","","","","","",""
"I2463","grave 1;Mound 2","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.33000183105469,1.3600000143051147,"F","East Kent Access (Phase II), Thanet, Kent, England","","J1c3+189","",-1925,-1700,"1925-1700 calBCE (3505±35 BP, SUERC-40721)","3505±35","SUERC-40721","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","I2a2a1b1b:L699:2663920A->G;I2a2a1:CTS9183:18732197A->G;I2a2a:P221:8353707C->A;I2a2:L181:19077754G->T;I2a2:L37:17516123T->C;I2a2:P218:17493630T->G;I:CTS10941:22845794A->G;I:CTS2387:14286853T->C;I:CTS4088:15389836T->C;I:CTS4209:15479899T->A;I:CTS7469:17497181C->A;I:CTS7831:17692855T->A;I:CTS8963:18582617C->T;I:FGC2412:21689728A->G;I:FGC2413:8262092C->T;I:PF3641:7688470T->C;I:PF3665:8643763A->G",250.8769989013672,"bam","","","","","","",""
"I2462","Barrow 5;Individual 1;Structure 3","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.33000183105469,1.3600000143051147,"F","East Kent Access (Phase II), Thanet, Kent, England","","U5a1d2a","",-2128,-1891,"2128-1891 calBCE (3625±35 BP, SUERC-40718)","3625±35","SUERC-40718","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","I2a2:L368:6931594C->Thet;I2a2:L37:17516123T->C;I:CTS2193:14214481G->T;I:CTS2514:14337364T->C;I:CTS3384:14884659A->C;I:CTS4088:15389836T->C;I:CTS4209:15479899T->A;I:CTS6231:16751000C->T;I:FI3:8485677C->A;I:L578:8267857G->A;I:PF3640:7681156T->A",274.635986328125,"bam","","","","","","",""
"I2612","Barrow 5;Individual 2;Structure 3","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",54.882999420166016,-1.4520000219345093,"F","Hasting Hill, Sunderland, Tyne and Wear, England","","U5b2b2","",-2464,-2208,"2464-2208 calBCE (3865±35 BP, Poz-83492)","3865±35","Poz-83492","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","I:L758:8536868C->G",373.2879943847656,"bam","","","","","","",""
"I2421","2013.COVACHA.20.125","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",54.882999420166016,-1.4520000219345093,"M","Hasting Hill, Sunderland, Tyne and Wear, England","","U5a1a2a","R1b1a1a2a1a2",-1930,-1759,"1930-1759 calBCE (3524±28 BP, OxA-26256)","3524±28","OxA-26256","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",232.05999755859375,"bam","11467G;12308G;12372A;16189C","11467;12308;12372;16189","MT-ND4;MT-TL2;MT-ND5;MT-CR","Altered brain pH / sCJD patients;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Altered brain pH / sCJD patients;Diabetes / Cardiomyopathy /cancer risk / mtDNA copy nbr / Metabolic Syndrome / Melanoma patients","Reported;Reported;Reported;Reported","+;+;+;+","-;+;-;-"
"I2609","2013.COVACHA.20.126","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",54.979000091552734,-2.122999906539917,"F","Hexham Golf Course, Northumberland, England","","K2a","",-2022,-1771,"2022-1771 calBCE (3560±40 BP, Poz-83423)","3560±40","Poz-83423","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",163.70799255371094,"bam","15784C;10398G;16189C;16093C;146C;16390A;16192T;12705T","15784;10398;16189;16093;146;16390;16192;12705","MT-CYB;MT-ND3;MT-CR;MT-CR;MT-CR;MT-CR;MT-CR;MT-CO1","POAG - potential for association;PD protective factor / longevity / altered cell pH / metabolic syndrome / breast cancer risk / Leigh Syndrome risk / ADHD / cognitive decline / SCA2 age of onset / Fuchs endothelial corneal dystrophy;Diabetes / Cardiomyopathy /cancer risk / mtDNA copy nbr / Metabolic Syndrome / Melanoma patients;Cyclic Vomiting Syndrome;Absence of Endometriosis;POAG - potential for association;Melanoma patients;Possible protective factor for normal tension glaucoma","Reported;Reported / lineage L & M marker / also hg IJK;Reported;Reported;Reported;Reported;Reported;Reported","+;+;+;-;+;+;nr;<NA>","-;-;-;+;-;-;nr;<NA>"
"I7630","16;Lovosice 2","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",53.72618865966797,-0.5296409726142883,"M","Melton Quarry, North Ferriby, East Riding of Yorkshire, England","","U5a","R1b1a1a2a1a2",-1879,-1691,"1879-1691 calBCE (3458±27 BP, SUERC-72661)","3458±27","SUERC-72661","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",4.5660600662231445,"bam","11253C;310C","11253;310","MT-ND4;MT-CR","LHON PD;Possible protective factor for normal tension glaucoma","Reported;Reported","+;<NA>","-;<NA>"
"I5441","28;Lovosice 2","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",50.426082611083984,-3.5805370807647705,"M","Neale's Cave, Paington, Devon, England","","H1+16239","R1b1a1a2a1a2",-1938,-1744,"1938-1744 calBCE (3512±37 BP, OxA-16522)","3512±37","OxA-16522","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",199.01300048828125,"bam","195C;310C","195;310","MT-CR;MT-CR","BD-associated / melanoma pts;Possible protective factor for normal tension glaucoma","Reported;Reported","+;<NA>","+;<NA>"
