identifier,alternative_identifiers,country,continent,region,culture,epoch,group,comment,latitude,longitude,sex,site,site_detail,mt_hg,ychr_hg,year_from,year_to,date_detail,bp,c14_lab_code,reference_name,reference_link,data_link,c14_sample_tag,c14_layer_tag,ychr_snps,avg_coverage,sequence_source,mitopatho_alleles,mitopatho_positions,mitopatho_locus,mitopatho_diseases,mitopatho_statuses,mitopatho_homoplasms,mitopatho_heteroplasms
I13833,none,Albania,Europe,"Barç (Southeast, Korça Basin)",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,M,Albania_EarlyModern_oCaucasus,none,X2e1,..,1450 CE,1800 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13559,none,Bahamas,North America,"South Andros, Sanctuary Blue Hole",Bahamas_SouthAndros_Ceramic,Neolithic,none,none,24.1,-77.55,M,Bahamas_SouthAndros_Ceramic,none,B2e,..,900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I24542,none,Belize,North America,Mayahak Cab Pek,Belize_4600BP,Belize_4600BP,none,none,16.497398,-88.90496,F,Belize_4600BP,none,C1c,n/a (female),2950 BCE,2600 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19493,none,Bulgaria,Europe,Kapitan Andreevo (South),Bulgaria_EIA,Iron Age,none,none,41.73,26.33,F,Bulgaria_EIA,none,K1a4a1,n/a (female),1100 BCE,500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16326,none,Czech Republic,Europe,"NW Bohemia, Louny, Stradonice",Czech_IA_Hallstatt,Iron Age,none,none,50.291389,14.045556,F,Czech_IA_Hallstatt,none,H7,n/a (female),800 BCE,550 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8122,none,Dominican Republic,North America,El Soco,Dominican_ElSoco_Ceramic,Neolithic,none,none,18.447,-69.187,F,Dominican_ElSoco_Ceramic,none,A2z,n/a (female),850 CE,1450 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14200,none,United Kingdom,Europe,"England, Wiltshire, Amesbury Down",England_BellBeaker_highEEF,Bronze Age,none,none,51.168023,-1.7725402,M,England_BellBeaker_highEEF,none,K1b1a,R1b1a1b1a1a,2470 calBCE,2239 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19043,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA_o1_lc,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA_o1_lc,none,J1c1,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I30333,none,United Kingdom,Europe,"England, Gloucestershire, Cheltenham, Hazleton North",England_N_Megalithic,Neolithic,none,none,51.861211,-1.883011,M,England_N_Megalithic,none,n/a (<2x cov),..,3948 calBCE,3652 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13433,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b1,n/a (female),1350 BCE,1150 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13531,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b,n/a (female),1350 BCE,1150 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13580,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,M,Greece_Delphi_BA_Mycenaean,none,K2b,..,1371 calBCE,1123 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7527,none,Iran,Asia,Ganj Dareh,Iran_GanjDareh_N,Neolithic,none,none,34.45,48.116,F,Iran_GanjDareh_N,none,U7a,n/a (female),8200 BCE,7700 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2189,none,Israel,Asia,"Megiddo, Jezreel Valley",Israel_MLBA_o_brother.I2200,Bronze Age,none,none,32.58472222,35.01694444,M,Israel_MLBA_o_brother.I2200,none,U3b,..,1600 BCE,1500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian_d,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian_d,none,N1b,..,12000 BCE,9500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian,none,n/a (<2x),..,12000 BCE,9500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP,none,L0d1b2b,..,4227 calBCE,3965 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP_noUDG,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP_noUDG,none,L0d1b2b,..,4227 calBCE,3965 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1525,none,Russia,Europe,"Uelen Chukotka, Bering Strait",Russia_Uelen_OldBeringSea,Russia_Uelen_OldBeringSea,none,none,66.161126,-169.822297,F,Russia_Uelen_OldBeringSea,none,A2a,n/a (female),60 calCE,450 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8435,none,Turkey,Asia,"Boncuklu Tarla (Southeast, Mardin, Dargeçit, Ilısu)",Turkey_PPNA_lc,Turkey_PPNA_lc,none,none,37.52,41.84,F,Turkey_PPNA_lc,none,n/a (<2x),n/a (female),9000 BCE,8500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13835,none,Albania,Europe,"Barç (Southeast, Korça Basin) ",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,F,Albania_EarlyModern_oCaucasus,none,U3b1,n/a (female),1644 calCE,1797 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7090,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP,Argentina_ArroyoSeco2_7200BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP,none,C1c,..,5462 calBCE,5014 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1748,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,C1c,..,5462 calBCE,5014 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7088,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7400BP_contam,Argentina_ArroyoSeco2_7400BP_contam,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7400BP_contam,none,A2,n/a (female),5620 calBCE,5336 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I0308,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,A2+(64),..,5620 calBCE,5336 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I0309,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,D1,..,5881 calBCE,5561 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2230,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,7026 calBCE,6433 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2232,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,6570 calBCE,6252 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7086,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7700BP,none,D1g,n/a (female),5971 calBCE,5718 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12941,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,M,Argentina_BeagleChannel_Yamana_100BP,none,C1b,..,1560 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12942,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Acatushún",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.87,-67.33,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),1810 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12943,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),1550 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12355,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Río Pipo",Argentina_BeagleChannel_Yamana_1500BP,Neolithic,none,none,-54.85,-68.52,M,Argentina_BeagleChannel_Yamana_1500BP,none,C1b,..,260 calCE,600 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8351,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_1600BP,Argentina_LagunaChica_1600BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_1600BP,none,D1g+16189,n/a (female),250 calCE,385 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8348,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,R,n/a (female),5010 calBCE,4840 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8349,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,C1b,n/a (female),4830 calBCE,4700 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8350,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,M,Argentina_LagunaChica_6800BP,none,A2,..,7000 BCE,4500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12376,none,Argentina,South America,"Southwest of Buenos Aires, Laguna Toro",Argentina_LagunaToro_2400BP,Argentina_LagunaToro_2400BP,none,none,-38.84,-61.42,F,Argentina_LagunaToro_2400BP,none,A2+(64),n/a (female),736 calBCE,194 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12356,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,D1,..,1450 calCE,1820 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12357,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,F,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,n/a (female),1470 calCE,1810 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12358,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C,..,1330 calCE,1650 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12359,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C1b,..,1280 calCE,1440 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
