id;id_alt;country;continent;geo_group;culture;epoch;group;comment;latitude;longitude;sex;site;site_detail;mt_hg;ychr_hg;ychr_snps;year_from;year_to;date_detail;bp;c14_lab_code;reference_name;reference_link;data_link;c14_sample_tag;c14_layer_tag;full_mt_tag;trusted_tag;avg_coverage;amtdb_version
I13833;;Albania;Europe;Balkans;Albania_EarlyModern_oCaucasus;Modern Era;;;40.625278;20.801111;M;Albania_EarlyModern_oCaucasus;Barç (Southeast, Korça Basin);X2e1;..;;1450;1800;1450-1800 CE;;;Lazaridis et al. 2022;https://doi.org/10.1126/science.abm4247;https://www.ebi.ac.uk/ena/browser/view/PRJEB54831;0;;;;13.211;v1.010
I13559;;Bahamas;North America;Caribbean;Bahamas_SouthAndros_Ceramic;Neolithic;NEXX;;24.1;-77.55;M;Bahamas_SouthAndros_Ceramic;South Andros, Sanctuary Blue Hole;B2e;..;;900;1500;900-1500 CE;;;Fernandes et al. 2020;https://doi.org/10.1038/s41586-020-03053-2;https://www.ebi.ac.uk/ena/browser/view/PRJEB38555;0;;;;0.09952;v1.010
I24542_d;;Belize;North America;Caribbean;Belize_4600BP;;;;16.497398;-88.90496;F;Belize_4600BP;Mayahak Cab Pek;C1c;n/a (female);;-2950;-2600;2950-2600 BCE;;;Kennett et al. 2022;https://doi.org/10.1038/s41467-022-29158-y;https://www.ebi.ac.uk/ena/browser/view/PRJEB49391;0;;;;0.158;v1.010
I19493_in.preparation;;Bulgaria;Bulgaria;Balkans;Bulgaria_EIA;Iron Age;IAXX;;41.73;26.33;F;Bulgaria_EIA;Kapitan Andreevo (South);K1a4a1;n/a (female);;-1100;-500;1100-500 BCE;;;Lazaridis et al. 2022;https://doi.org/10.1126/science.abm4247;https://www.ebi.ac.uk/ena/browser/view/PRJEB54831;0;;;;0.066;v1.010
I16326;;Czech Republic;Europe;central Europe;Czech_IA_Hallstatt;Iron Age;IAXX;;50.291389;14.045556;F;Czech_IA_Hallstatt;NW Bohemia, Louny, Stradonice;H7;n/a (female);;-800;-550;800-550 BCE;;;Patterson et al. 2021;https://doi.org/10.1038/s41586-021-04287-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB47891;0;;;;1.043185;v1.010
I8122;;Dominican Republic;North America;Caribbean;Dominican_ElSoco_Ceramic;Neolithic;NEXX;;18.447;-69.187;F;Dominican_ElSoco_Ceramic;El Soco;A2z;n/a (female);;850;1450;850-1450 CE;;;Fernandes et al. 2020;https://doi.org/10.1038/s41586-020-03053-2;https://www.ebi.ac.uk/ena/browser/view/PRJEB38555;0;;;;0.184467;v1.010
I14200;;United Kingdom;Europe;British Isles;England_BellBeaker_highEEF;Bronze Age;BAXX;;51.168023;-1.7725402;M;England_BellBeaker_highEEF;England, Wiltshire, Amesbury Down;K1b1a;R1b1a1b1a1a;;-2470;-2239;2470-2239 calBCE (3895±32 BP, OxA-13541);3895±32 BP;OxA-13541;Patterson et al. 2021;https://doi.org/10.1038/s41586-021-04287-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB47891;1;;;;0.158;v1.010
I19043_old;;United Kingdom;Europe;British Isles;England_MIA_LIA_o1_lc;Iron Age;IAXX;;51.07;-1.29;F;England_MIA_LIA_o1_lc;England, Hampshire, Winnall Down;J1c1;n/a (female);;-400;-100;400-100 BCE;;;Patterson et al. 2021;https://doi.org/10.1038/s41586-021-04287-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB47891;0;;;;0.015;v1.010
I30333;;United Kingdom;Europe;British Isles;England_N_Megalithic;Neolithic;NEXX;;51.861211;-1.883011;M;England_N_Megalithic;England, Gloucestershire, Cheltenham, Hazleton North;n/a (<2x cov);..;;-3948;-3652;3948-3652 calBCE (5000±70, OxA-910);5000±70;OxA-910;Fowler et al. 2021;https://doi.org/10.1038/s41586-021-04241-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB46958;1;;;;..;v1.010
I13433;;Greece;Europe;Balkans;Greece_Delphi_BA_Mycenaean;Bronze Age;BAXX;;38.399083;22.575;F;Greece_Delphi_BA_Mycenaean;Kastrouli (Desfina, Phokis, near Delphi);U3b1;n/a (female);;-1350;-1150;1350-1150 BCE;;;Lazaridis et al. 2022;https://doi.org/10.1126/science.abm4247;https://www.ebi.ac.uk/ena/browser/view/PRJEB54831;0;;;;0.026;v1.010
I13531;;Greece;Europe;Balkans;Greece_Delphi_BA_Mycenaean;Bronze Age;BAXX;;38.399083;22.575;F;Greece_Delphi_BA_Mycenaean;Kastrouli (Desfina, Phokis, near Delphi);U3b;n/a (female);;-1350;-1150;1350-1150 BCE;;;Lazaridis et al. 2022;https://doi.org/10.1126/science.abm4247;https://www.ebi.ac.uk/ena/browser/view/PRJEB54831;0;;;;0.022;v1.010
I13580;;Greece;Europe;Balkans;Greece_Delphi_BA_Mycenaean;Bronze Age;BAXX;;38.399083;22.575;M;Greece_Delphi_BA_Mycenaean;Kastrouli (Desfina, Phokis, near Delphi);K2b;..;;-1371;-1123;1371-1123 calBCE (2990±25 BP, PSUAMS-6823);2990±25 BP;PSUAMS-6823;Lazaridis et al. 2022;https://doi.org/10.1126/science.abm4247;https://www.ebi.ac.uk/ena/browser/view/PRJEB54831;1;;;;0.028;v1.010
