id,id_alt,country,continent,geo_group,culture,epoch,group,comment,latitude,longitude,sex,site,site_detail,mt_hg,ychr_hg,ychr_snps,year_from,year_to,date_detail,bp,c14_lab_code,reference_name,reference_link,data_link,c14_sample_tag,c14_layer_tag,full_mt_tag,trusted_tag,avg_coverage,amtdb_version
I13833,none,Albania,Europe,"Barç (Southeast, Korça Basin)",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,M,Albania_EarlyModern_oCaucasus,none,X2e1,..,none,1450 CE,1800 CE,1450-1800 CE,none,none,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,13.211,v1.010
I13559,none,Bahamas,North America,"South Andros, Sanctuary Blue Hole",Bahamas_SouthAndros_Ceramic,Neolithic,none,none,24.1,-77.55,M,Bahamas_SouthAndros_Ceramic,none,B2e,..,none,900 CE,1500 CE,900-1500 CE,none,none,Fernandes Sirak Nature 2020,https://doi.org/10.1038/s41586-020-03053-2,https://www.ebi.ac.uk/ena/browser/view/PRJEB38555,none,none,none,none,0.09952,v1.010
I24542,none,Belize,North America,Mayahak Cab Pek,Belize_4600BP,none,none,none,16.497398,-88.90496,F,Belize_4600BP,none,C1c,n/a (female),none,2950 BCE,2600 BCE,2950-2600 BCE,none,none,Kennett Lipson Prufer Nature Communications 2022,https://doi.org/10.1038/s41467-022-29158-y,https://www.ebi.ac.uk/ena/browser/view/PRJEB49391,none,none,none,none,0.158,v1.010
I19493,none,Bulgaria,Europe,Kapitan Andreevo (South),Bulgaria_EIA,Iron Age,none,none,41.73,26.33,F,Bulgaria_EIA,none,K1a4a1,n/a (female),none,1100 BCE,500 BCE,1100-500 BCE,none,none,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.066,v1.010
I16326,none,Czech Republic,Europe,"NW Bohemia, Louny, Stradonice",Czech_IA_Hallstatt,Iron Age,none,none,50.291389,14.045556,F,Czech_IA_Hallstatt,none,H7,n/a (female),none,800 BCE,550 BCE,800-550 BCE,none,none,Patterson Nature 2021,https://doi.org/10.1038/s41586-021-04287-4,https://www.ebi.ac.uk/ena/browser/view/PRJEB47891,none,none,none,none,1.043185,v1.010
I8122,none,Dominican Republic,North America,El Soco,Dominican_ElSoco_Ceramic,Neolithic,none,none,18.447,-69.187,F,Dominican_ElSoco_Ceramic,none,A2z,n/a (female),none,850 CE,1450 CE,850-1450 CE,none,none,Fernandes Sirak Nature 2020,https://doi.org/10.1038/s41586-020-03053-2,https://www.ebi.ac.uk/ena/browser/view/PRJEB38555,none,none,none,none,0.184467,v1.010
I14200,none,United Kingdom,Europe,"England, Wiltshire, Amesbury Down",England_BellBeaker_highEEF,Bronze Age,none,none,51.168023,-1.7725402,M,England_BellBeaker_highEEF,none,K1b1a,R1b1a1b1a1a,none,2470 calBCE,2239 calBCE,"2470-2239 calBCE (3895±32 BP, OxA-13541)",3895±32 BP,OxA-13541,Patterson Nature 2021,https://doi.org/10.1038/s41586-021-04287-4,https://www.ebi.ac.uk/ena/browser/view/PRJEB47891,none,none,none,none,0.158,v1.010
I19043,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA_o1_lc,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA_o1_lc,none,J1c1,n/a (female),none,400 BCE,100 BCE,400-100 BCE,none,none,Patterson Nature 2021,https://doi.org/10.1038/s41586-021-04287-4,https://www.ebi.ac.uk/ena/browser/view/PRJEB47891,none,none,none,none,0.015,v1.010
I30333,none,United Kingdom,Europe,"England, Gloucestershire, Cheltenham, Hazleton North",England_N_Megalithic,Neolithic,none,none,51.861211,-1.883011,M,England_N_Megalithic,none,n/a (<2x cov),..,none,3948 calBCE,3652 calBCE,"3948-3652 calBCE (5000±70, OxA-910)",5000±70,OxA-910,Fowler Olalde Nature 2021,https://doi.org/10.1038/s41586-021-04241-4,https://www.ebi.ac.uk/ena/browser/view/PRJEB46958,none,none,none,none,..,v1.010
I13433,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b1,n/a (female),none,1350 BCE,1150 BCE,1350-1150 BCE,none,none,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.026,v1.010
I13531,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b,n/a (female),none,1350 BCE,1150 BCE,1350-1150 BCE,none,none,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.022,v1.010
I13580,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,M,Greece_Delphi_BA_Mycenaean,none,K2b,..,none,1371 calBCE,1123 calBCE,"1371-1123 calBCE (2990±25 BP, PSUAMS-6823)",2990±25 BP,PSUAMS-6823,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.028,v1.010
I7527,none,Iran,Asia,Ganj Dareh,Iran_GanjDareh_N,Neolithic,none,none,34.45,48.116,F,Iran_GanjDareh_N,none,U7a,n/a (female),none,8200 BCE,7700 BCE,8200-7700 BCE,none,none,Narasimhan Patterson Science 2019,https://doi.org/10.1126/science.aat7487,https://www.ebi.ac.uk/ena/browser/view/PRJEB32466,none,none,none,none,0.089027,v1.010
I2189,none,Israel,Asia,"Megiddo, Jezreel Valley",Israel_MLBA_o_brother.I2200,Bronze Age,none,none,32.58472222,35.01694444,M,Israel_MLBA_o_brother.I2200,none,U3b,..,none,1600 BCE,1500 BCE,1600-1500 BCE,none,none,Agranat Tamir Cell 2020,https://doi.org/10.1016/j.cell.2020.04.024,https://www.ebi.ac.uk/ena/browser/view/PRJEB37057,none,none,none,none,0.136,v1.010
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian_d,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian_d,none,N1b,..,none,12000 BCE,9500 BCE,12000-9500 BCE,none,none,Lazaridis Alpaslan Roodenberg Science 2022 (higher coverage of previously reported individual from  Lazaridis Nature2016),https://doi.org/10.1126/science.abm4247 (higher coverage of previously reported individual from  Lazaridis Nature2016),https://www.ebi.ac.uk/ena/browser/view/PRJEB54831 (higher coverage of previously reported individual from  Lazaridis Nature2016),none,none,none,none,0.112,v1.010
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian,none,n/a (<2x),..,none,12000 BCE,9500 BCE,12000-9500 BCE,none,none,Lazaridis Nature 2016,https://doi.org/10.1038/nature19310,https://www.ebi.ac.uk/ena/browser/view/PRJEB14455,none,none,none,none,0.034,v1.010
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP,none,L0d1b2b,..,none,4227 calBCE,3965 calBCE,"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)",5270±25 BP,UCIAMS-186346,Lipson Sawchuk Nature 2022 (higher coverage individual first published in  Skoglund Cell2017),https://doi.org/10.1038/s41586-022-04430-9 (higher coverage individual first published in  Skoglund Cell2017),https://www.ebi.ac.uk/ena/browser/view/PRJEB49291 (higher coverage individual first published in  Skoglund Cell2017),none,none,none,none,0.23518,v1.010
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP_noUDG,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP_noUDG,none,L0d1b2b,..,none,4227 calBCE,3965 calBCE,"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)",5270±25 BP,UCIAMS-186346,Lipson Sawchuk Nature 2022 (higher coverage individual first published in  Skoglund Cell2017),https://doi.org/10.1038/s41586-022-04430-9 (higher coverage individual first published in  Skoglund Cell2017),https://www.ebi.ac.uk/ena/browser/view/PRJEB49291 (higher coverage individual first published in  Skoglund Cell2017),none,none,none,none,0.323463,v1.010
