"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"2470-2239 calBCE (3895±32 BP, OxA-13541)"
"3948-3652 calBCE (5000±70, OxA-910)"
"1371-1123 calBCE (2990±25 BP, PSUAMS-6823)"
"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)"
"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)"
"60-450 calCE (2560±20 BP, PSUAMS-1962)"
"1644-1797 calCE (235±15 BP, PSUAMS-8291)"
"5462-5014 calBCE (6300±70 BP, AA-7966)"
"5462-5014 calBCE (6300±70 BP, AA-7966)"
"5620-5336 calBCE (6560±60 BP, LP-186)"
"5620-5336 calBCE (6560±60 BP, LP-186)"
"5881-5561 calBCE (6838±73 BP, AA-67738)"
"7026-6433 calBCE (7805±85 BP, AA-106014)"
"6570-6252 calBCE (7612±53 BP, AA-106013)"
"5971-5718 calBCE (6959±43) [R_combine: (7000±80 BP, TO-1503); (6970±60 BP, CAMS-16170); (6880±90 BP, NZA-1101)]"
"1560-1960 calCE (555±20 BP, PSUAMS-6678)"
"1810-1960 calCE (490±25 BP, PSUAMS-6679)"
"1550-1960 calCE (570±20 BP, PSUAMS-6680)"
"260-600 calCE (1975±25 BP, PSUAMS-6673)"
"250-385 calCE (1750±15 BP, UCIAMS-185301)"
"5010-4840 calBCE (6080±15 BP, UCIAMS-185303)"
"4830-4700 calBCE (5930±15 BP, UCIAMS-185302)"
"736-194 calBCE (2369±52 BP, UGAMS-16601)"
"1450-1820 calCE (650±20 BP, PSUAMS-6674)"
"1470-1810 calCE (530±45 BP, PSUAMS-6675)"
"1330-1650 calCE (820±40 BP, UGAMS-5151)"
"1280-1440 calCE (870±20 BP, PSUAMS-6683)"
"1460-1640 calCE (800±20 BP, PSUAMS-6676)"
"1450-1630 calCE (815±20 BP, PSUAMS-6677)"
